的, DE, 561144
是, SHI, 149084
在, P, 114040
一, Neu, 104974
有, V_2, 80411
不, D, 69855
我, Nh, 69130
個, Nf, 66230
了, Di, 62759
也, D, 59366
這, Nep, 59326
他, Nh, 54185
就, D, 46818
人, Na, 44942
都, D, 37038
而, Cbb, 34313
說, VE, 33804
與, Caa, 30492
之, DE, 28459
和, Caa, 28033
我們, Nh, 27781
對, P, 27749
要, D, 26867
以, P, 26822
中, Ng, 26696
會, D, 26029
你, Nh, 25437
及, Caa, 25350
她, Nh, 24598
上, Ncd, 23420
著, Di, 22769
種, Nf, 22058
但, Cbb, 21737
大, VH, 21365
很, Dfa, 21254
的, T, 20697
能, D, 20210
年, Nf, 20047
時, Ng, 18562
了, T, 18533
最, Dfa, 18126
還, D, 18082
那, Nep, 17452
可以, D, 17452
兩, Neu, 17424
後, Ng, 17102
等, Cab, 17099
自己, Nh, 16885
所, D, 16790
或, Caa, 16503
為, VG, 16416
被, P, 16249
台灣, Nc, 16169
將, D, 16072
可, D, 15668
來, D, 15467
他們, Nh, 15272
從, P, 15029
為, P, 14880
各, Nes, 14877
已, D, 14620
讓, VL, 14381
又, D, 14175
因為, Cbb, 13970
者, Na, 13696
次, Nf, 13403
每, Nes, 13397
地, DE, 13339
於, P, 13317
由, P, 13300
卻, D, 13119
則, D, 13115
才, Da, 12992
三, Neu, 12575
上, Ng, 12482
此, Nep, 12424
再, D, 12385
與, P, 12351
其, Nep, 12339
只, Da, 12244
表示, VE, 12219
好, VH, 12025
把, P, 12001
並, Cbb, 11994
問題, Na, 11809
沒有, VJ, 11541
將, P, 11022
什麼, Nep, 10671
做, VC, 10562
得, DE, 10473
到, P, 10289
位, Nf, 10249
想, VE, 10039
所以, Cbb, 9895
因此, Cbb, 9811
學生, Na, 9756
社會, Na, 9691
看, VC, 9593
公司, Nc, 9418
去, D, 9286
裡, Ncd, 9228
新, VH, 9147
天, Nf, 9147
如果, Cbb, 9063
目前, Nd, 8897
小, VH, 8805
並, D, 8526
但是, Cbb, 8517
它, Nh, 8458
元, Nf, 8445
這些, Neqa, 8300
認為, VE, 8270
中, Ncd, 8068
全, Neqa, 8060
可能, D, 7954
使, VL, 7880
和, P, 7839
呢, T, 7803
美國, Nc, 7792
向, P, 7788
更, Dfa, 7662
時間, Na, 7632
由於, Cbb, 7508
中國, Nc, 7466
政府, Na, 7359
過, Di, 7273
一, D, 7236
這樣, VH, 7192
內, Ncd, 7158
知道, VK, 7131
事, Na, 7066
工作, Na, 7048
第一, Neu, 7021
現在, Nd, 7018
生活, Na, 6952
世界, Nc, 6947
已經, D, 6947
更, D, 6944
下, Ng, 6907
到, VCL, 6888
仍, D, 6768
大學, Nc, 6678
許多, Neqa, 6668
國家, Na, 6640
文化, Na, 6563
應, D, 6487
幾, Neu, 6461
覺得, VK, 6355
指出, VE, 6344
高, VH, 6316
二, Neu, 6192
前, Ng, 6191
沒有, D, 6115
活動, Na, 6103
雖然, Cbb, 6098
日本, Nc, 6088
方式, Na, 6070
成為, VG, 6069
項, Nf, 6051
希望, VK, 6049
必須, D, 6048
如, P, 6037
時候, Na, 6019
不過, Cbb, 5998
該, Nes, 5992
四, Neu, 5976
不同, VH, 5949
未, D, 5934
市場, Nc, 5818
使用, VC, 5779
用, P, 5742
進行, VC, 5736
其他, Neqa, 5638
不能, D, 5548
曾, D, 5542
無法, D, 5534
關係, Na, 5525
大陸, Nc, 5500
經濟, Na, 5462
重要, VH, 5423
發現, VE, 5395
大家, Nh, 5362
對於, P, 5354
系統, Na, 5347
家, Nc, 5335
以及, Caa, 5313
環境, Na, 5305
跟, P, 5285
孩子, Na, 5208
學校, Nc, 5161
今年, Nd, 5152
同時, Nd, 5140
一些, Neqa, 5102
來, VA, 5085
教育, Na, 5081
本, Nes, 5054
地方, Na, 5054
太, Dfa, 5031
除了, P, 5013
應該, D, 5010
便, D, 4979
心, Na, 4955
正, D, 4948
不會, D, 4891
提供, VD, 4879
發展, VC, 4875
而且, Cbb, 4868
名, Nf, 4867
之後, Ng, 4866
歲, Nf, 4845
當, P, 4814
五, Neu, 4802
多, VH, 4794
嗎, T, 4771
包括, VK, 4768
無, VJ, 4739
老師, Na, 4737
較, Dfa, 4733
開始, VL, 4719
像, P, 4712
中心, Nc, 4694
未來, Nd, 4641
發生, VJ, 4635
吃, VC, 4626
其中, Nep, 4536
們, Na, 4534
比, P, 4534
看到, VE, 4530
一樣, VH, 4525
另, Nes, 4521
非常, Dfa, 4489
如何, D, 4461
若, Cbb, 4449
方面, Na, 4409
就是, Cbb, 4394
啊, T, 4383
出現, VH, 4374
因, Cbb, 4368
歷史, Na, 4365
今天, Nd, 4363
人員, Na, 4327
月, Na, 4325
國內, Nc, 4300
甚至, D, 4293
網路, Na, 4284
台北, Nc, 4282
先, D, 4261
國際, Nc, 4214
地區, Nc, 4198
特別, VH, 4198
最後, Nd, 4190
其實, D, 4188
需要, VK, 4086
給, VD, 4069
裡, Ng, 4066
是否, D, 4058
空間, Na, 4049
即, D, 4009
地, Na, 3976
亦, D, 3943
政治, Na, 3936
很多, Neqa, 3918
電腦, Na, 3885
還是, D, 3881
可是, Cbb, 3880
企業, Na, 3867
第二, Neu, 3833
像, VG, 3827
研究, VE, 3817
產品, Na, 3788
沒, D, 3772
令, VL, 3743
比較, Dfa, 3708
然後, D, 3699
一直, D, 3689
昨天, Nd, 3679
所有, Neqa, 3668
技術, Na, 3622
藝術, Na, 3620
國, Nc, 3618
常, D, 3617
問, VE, 3604
外, Ng, 3600
多, Neqa, 3598
不要, D, 3588
一定, D, 3585
吧, T, 3581
至, P, 3561
資料, Na, 3560
當時, Nd, 3555
生命, Na, 3550
先生, Na, 3534
機會, Na, 3511
請, VF, 3503
對, VH, 3503
提出, VC, 3488
只要, Cbb, 3485
女性, Na, 3478
作品, Na, 3463
話, Na, 3444
妳, Nh, 3444
之間, Ng, 3440
走, VA, 3428
民眾, Na, 3414
去年, Nd, 3403
約, Da, 3402
過去, Nd, 3392
